Yil,Ay,Donem,Sanayi_Tuketim_MWh,Sanayi_Pay_Yuzde,Kaynak_Dosya
2022,11,2022-11,8870978.01,46.43,_PortalAdmin_Uploads_Content_FastAccess_2df0321866923.docx
2022,12,2022-12,9129622.03,45.05,_PortalAdmin_Uploads_Content_FastAccess_fa7155f815913.docx
2023,1,2023-01,8927713.17,42.62,_PortalAdmin_Uploads_Content_FastAccess_e2cde10c50359.docx
2023,2,2023-02,7578842.34,40.03,_PortalAdmin_Uploads_Content_FastAccess_40fd93b367429.docx
2023,3,2023-03,9112112.11,45.12,_PortalAdmin_Uploads_Content_FastAccess_ea4bdbe288373.docx
2023,4,2023-04,7808783.05,42.49,_PortalAdmin_Uploads_Content_FastAccess_db2b7c9e28185.docx
2023,5,2023-05,8717315.09,43.69,_PortalAdmin_Uploads_Content_FastAccess_ab5f528241673.docx
2023,6,2023-06,8000613.06,40.22,_PortalAdmin_Uploads_Content_FastAccess_1e16f2f785735.docx
2023,7,2023-07,8698173.64,35.72,_PortalAdmin_Uploads_Content_FastAccess_c9d49f7336385.docx
2023,8,2023-08,9031296.94,35.07,_PortalAdmin_Uploads_Content_FastAccess_205d90e755150.docx
2023,9,2023-09,8853270.08,37.04,_PortalAdmin_Uploads_Content_FastAccess_d01b291581609.docx
2023,10,2023-10,9049165.44,42.9,_PortalAdmin_Uploads_Content_FastAccess_71fd755766750.docx
2023,11,2023-11,9042537.01,44.84,_PortalAdmin_Uploads_Content_FastAccess_2e27e2f775576.docx
2023,12,2023-12,9137788.59,43.11,_PortalAdmin_Uploads_Content_FastAccess_c3ba04c814964.docx
2024,1,2024-01,9286724.41,40.81,_PortalAdmin_Uploads_Content_FastAccess_5fbf3ac842928.docx
2024,2,2024-02,8667264.81,40.2,_PortalAdmin_Uploads_Content_FastAccess_415ed30988964.docx
2024,3,2024-03,9103299.2,42.72,_PortalAdmin_Uploads_Content_FastAccess_2c77e94437374.docx
2024,4,2024-04,7470928.02,38.79,_PortalAdmin_Uploads_Content_FastAccess_209b798e65783.docx
2024,5,2024-05,8912104.76,42.2,_PortalAdmin_Uploads_Content_FastAccess_7d2e927730995.docx
2024,6,2024-06,8203350.37,37.17,_PortalAdmin_Uploads_Content_FastAccess_98273a0762938.docx
2024,7,2024-07,9677727.94,35.6,_PortalAdmin_Uploads_Content_FastAccess_e93fc87058273.docx
2024,8,2024-08,9553765.88,34.63,_PortalAdmin_Uploads_Content_FastAccess_665644d185200.docx
2024,9,2024-09,9337758.5,38.01,_PortalAdmin_Uploads_Content_FastAccess_f2e01ba499855.docx
2024,10,2024-10,9692839.43,43.84,_PortalAdmin_Uploads_Content_FastAccess_8ed2dfe893662.docx
2024,11,2024-11,10010121.92,44.82,_PortalAdmin_Uploads_Content_FastAccess_1e2e588a20934.docx
2024,12,2024-12,10131690.49,43.34,_PortalAdmin_Uploads_Content_FastAccess_a007276985902.docx
2025,1,2025-01,10161540.61,41.07,_PortalAdmin_Uploads_Content_FastAccess_f4dc4bb994021.docx
2025,2,2025-02,9384776.31,40.47,_PortalAdmin_Uploads_Content_FastAccess_ec5cc46a61521.docx
2025,3,2025-03,9398181.5,41.92,_PortalAdmin_Uploads_Content_Media_db365aea78639.docx
2025,4,2025-04,9008328.34,41.27,_PortalAdmin_Uploads_Content_FastAccess_334ffbc033421.docx
2025,5,2025-05,9519808.5,41.99,_PortalAdmin_Uploads_Content_Media_267cbfee25100.docx
2025,6,2025-06,8407268.88,37.35,_PortalAdmin_Uploads_Content_Media_45743f9b86171.docx
2025,7,2025-07,9839048.81,36.13,_PortalAdmin_Uploads_Content_FastAccess_7e94737d65499.docx
2025,8,2025-08,9753987.84,34.03,_PortalAdmin_Uploads_Content_FastAccess_1fd8cc7238007.docx
2025,9,2025-09,9678656.2,37.84,_PortalAdmin_Uploads_Content_FastAccess_e676855731278.docx
2025,10,2025-10,10027453.28,43.69,_PortalAdmin_Uploads_Content_FastAccess_9d9c325e57743.docx
2025,11,2025-11,10173239.53,45.2,_PortalAdmin_Uploads_Content_FastAccess_302767ba55420.docx
2025,12,2025-12,10642906.23,44.02,_PortalAdmin_Uploads_Content_FastAccess_eb2a888925727.docx
